Rank,Player Name,Team,Pos,GP,MIN,Position Group,PTS,PTS_Grade,FG%,FG%_Grade,FT%,FT%_Grade,3P%,3P%_Grade,REB,REB_Grade,AST,AST_Grade,STL,STL_Grade,BLK,BLK_Grade,OVR_Grade
22,Aniwaniwa Tait-Jones,UC San Diego,G,30,29.5,G,19.8,99,58.9,99,77.1,82,34.9,82,5.3,96,3.4,91,1.3,88,0.4,89,90
23,Blaise Threatt,Weber State,G,29,34.9,G,19.8,99,52.0,96,70.5,76,31.1,77,5.7,98,4.5,99,1.9,99,0.0,71,89
24,Lamar Wilkerson,Sam Houston,G,29,34.7,G,19.7,99,47.2,88,82.1,86,44.0,93,4.0,87,1.9,79,1.0,82,0.2,80,86
25,Brice Williams,Nebraska,G,29,33.1,G,19.7,99,46.8,88,90.1,93,35.0,82,4.0,87,2.8,86,1.2,86,0.3,84,88
26,Blake Harper,Howard,G,29,34.7,G,19.7,99,45.0,85,81.5,85,40.2,89,6.4,99,3.6,92,1.0,82,0.0,71,87
27,Trey Kaufman-Renn,Purdue,F,29,30.3,F,19.6,99,61.0,92,65.1,79,42.9,90,6.0,88,2.3,97,0.8,85,0.3,74,88
28,Quimari Peterson,East Tennessee State,G,31,34.4,G,19.5,99,47.2,88,75.0,80,43.1,92,4.5,90,3.7,93,2.0,99,0.2,80,90
29,Dylan Darling,Idaho State,PG,26,34.1,PG,19.4,95,43.6,85,81.5,82,36.6,81,3.4,91,5.8,98,1.8,94,0.4,98,90
30,Dylan Harper,Rutgers,G,26,32.2,G,19.3,99,48.9,91,74.3,79,34.1,81,4.5,90,4.0,95,1.4,90,0.5,93,89
31,Dawson Garcia,Minnesota,F,29,35.3,F,19.3,99,48.0,78,77.3,88,36.0,86,7.5,95,2.0,93,0.8,85,0.9,86,88
32,Cooper Flagg,Duke,G,29,30.9,G,19.3,99,49.2,92,82.8,87,37.5,85,7.6,99,4.1,96,1.6,94,1.1,99,93
33,Jalen Jackson,Purdue Fort Wayne,G,30,31.5,G,19.2,99,48.9,91,75.4,80,27.6,73,4.2,88,3.2,89,1.6,94,0.4,89,87
34,Brandon Noel,Wright State,F,31,33.9,F,19.2,99,54.9,85,75.0,86,36.4,87,8.0,97,1.7,89,1.0,91,0.9,86,90
35,John Tonje,Wisconsin,G,29,31.0,G,19.2,99,47.1,88,91.5,94,37.6,85,4.9,93,1.7,78,0.8,78,0.2,80,86
36,Jordan Marsh,UNC Asheville,G,30,28.9,G,19.2,99,45.5,86,80.0,84,31.3,78,4.3,89,3.6,92,2.0,99,0.3,84,88
37,Ray'Sean Taylor,SIU Edwardsville,G,31,32.3,G,19.2,99,41.4,79,84.6,88,34.5,82,4.5,90,3.8,94,2.0,99,0.1,75,88
38,Mark Sears,Alabama,G,29,32.4,G,19.1,99,41.2,79,84.5,88,36.1,84,3.0,80,5.0,99,1.0,82,0.1,75,85
39,Malik Thomas,San Francisco,G,30,31.0,G,19.1,99,45.7,86,83.4,87,39.2,87,3.4,83,2.0,80,1.7,97,0.1,75,86
40,Ryan Kalkbrenner,Creighton,C,28,33.5,C,19.1,99,65.6,89,68.8,86,37.8,90,8.8,96,1.5,87,0.6,86,2.7,99,91
41,Reed Bailey,Davidson,F,29,32.8,F,19.1,99,49.2,79,77.0,88,42.4,90,6.2,89,3.8,99,0.8,85,0.7,82,88
42,Issac McBride,Oral Roberts,G,29,35.1,G,19.0,99,43.9,83,84.5,88,39.2,87,2.7,78,2.5,84,1.0,82,0.0,71,84
43,Bennett Stirtz,Drake,G,30,39.3,G,18.9,99,49.7,92,79.4,84,38.1,86,4.4,90,5.9,99,2.2,99,0.2,80,91
44,John Poulakidas,Yale,G,23,31.3,G,18.9,99,44.2,83,89.6,92,40.0,88,3.4,83,1.3,75,0.6,74,0.1,75,83
45,Keyshawn Hall,UCF,G,29,32.9,G,18.9,99,43.6,83,82.4,86,36.7,84,7.0,99,2.3,82,0.8,78,0.4,89,87
46,Tariq Francis,NJIT,G,26,34.5,G,18.8,99,36.5,71,84.7,88,31.3,78,4.2,88,3.6,92,1.0,82,0.0,71,83
47,Marquel Sutton,Omaha,F,31,32.5,F,18.8,99,47.8,77,74.0,86,30.3,83,7.5,95,1.2,82,0.8,85,0.3,74,85
48,RJ Felton,East Carolina,G,29,34.7,G,18.8,99,41.6,79,72.2,78,38.1,86,6.7,99,2.5,84,1.3,88,0.6,97,88
49,Jemel Jones,Cal State Bakersfield,G,31,26.6,G,18.7,99,47.7,89,85.7,89,36.1,84,3.5,83,2.1,81,0.8,78,0.4,89,86
50,Brian Moore Jr.,Norfolk State,G,29,31.2,G,18.7,99,56.1,99,82.2,86,45.0,94,3.7,85,3.0,88,1.3,88,0.3,84,90
51,Rafael Pinzon,Bryant,G,27,33.4,G,18.6,99,42.4,81,88.7,92,40.9,89,3.0,80,2.3,82,1.0,82,0.1,75,85
52,Jackie Johnson III,Fordham,G,29,29.8,G,18.6,99,43.1,82,73.9,79,33.8,81,2.9,79,2.6,85,1.5,92,0.0,71,83
53,Adrian Wooley,Kennesaw State,G,30,33.1,G,18.6,99,51.4,95,76.5,81,40.8,89,5.2,95,3.5,91,1.4,90,0.1,75,89
54,Hunter Sallis,Wake Forest,G,29,36.1,G,18.5,99,46.5,87,80.6,85,27.9,73,5.1,94,2.8,86,1.2,86,0.6,97,88
55,Ante Brzovic,College of Charleston,F,31,32.2,F,18.5,99,55.0,85,67.5,81,31.5,84,8.2,98,2.9,99,0.8,85,1.1,90,90
56,Jamir Watkins,Florida State,G,29,30.4,G,18.5,99,42.9,81,74.5,80,32.9,80,5.3,96,2.2,82,1.2,86,0.5,93,87
57,Devin Askew,Long Beach State,G,30,36.4,G,18.5,99,39.4,76,87.8,91,36.2,84,4.7,92,4.7,99,1.6,94,0.1,75,88
58,Johni Broome,Auburn,F,27,29.3,F,18.4,99,50.5,80,62.8,77,29.0,82,10.8,99,3.3,99,0.8,85,2.4,99,90
59,Kam Jones,Marquette,G,29,32.8,G,18.4,99,48.8,91,67.6,74,31.5,78,4.3,89,6.2,99,1.4,90,0.2,80,87
60,Josh Hubbard,Mississippi State,G,29,32.8,G,18.4,99,40.1,77,87.8,91,35.0,82,2.3,75,3.3,90,1.0,82,0.1,75,83
61,Rashad King,Northeastern,G,31,36.4,G,18.4,99,45.0,85,85.4,89,31.6,78,6.0,99,3.4,91,1.5,92,0.9,99,91
62,J.J. Starling,Syracuse,G,22,34.8,G,18.3,99,41.6,79,71.4,77,27.9,73,3.8,85,2.7,85,0.9,80,0.3,84,82
63,Austin Benigni,Navy,G,31,33.5,G,18.3,99,40.7,78,85.6,89,35.8,83,3.2,81,4.2,97,0.9,80,0.2,80,85
64,Treysen Eaglestaff,North Dakota,G,31,31.5,G,18.3,99,41.0,78,79.5,84,35.5,83,2.8,78,2.3,82,1.0,82,0.1,75,82
65,Javon Small,West Virginia,G,29,36.1,G,18.2,99,42.0,80,87.5,91,35.6,83,4.1,87,5.5,99,1.6,94,0.4,89,90
66,Ace Bailey,Rutgers,G,27,33.4,G,18.2,99,46.5,87,68.9,75,36.3,84,7.3,99,1.3,75,1.0,82,1.3,99,87
67,Paul Zilinskas,IUPUI,G,30,31.3,G,18.2,99,44.8,84,89.2,92,41.3,90,2.9,79,1.8,79,0.9,80,0.2,80,85
68,Tyson Degenhart,Boise State,F,29,33.4,F,18.1,99,51.5,81,79.7,90,32.1,84,6.1,88,1.6,88,0.5,77,0.2,71,84
69,George Kimble III,Eastern Kentucky,G,25,29.7,G,18.0,99,38.0,73,85.1,88,34.8,82,3.7,85,3.2,89,2.6,99,0.4,89,88
70,Stefan Todorovic,Pepperdine,F,31,34.2,F,18.0,99,43.6,73,84.8,93,37.4,87,5.7,86,2.3,97,1.0,91,0.1,69,86
71,Ketron Shaw,Maryland Eastern Shore,G,28,34.9,G,18.0,99,45.2,85,66.2,73,23.4,68,5.9,99,3.1,88,0.9,80,0.4,89,85
72,Simeon Cottle,Kennesaw State,G,30,31.8,G,17.9,99,38.6,74,87.9,91,32.1,79,2.4,76,3.0,88,0.8,78,0.2,80,83
73,Nique Clifford,Colorado State,G,29,35.3,G,17.9,99,49.3,92,74.4,79,37.9,86,10.0,99,4.3,97,1.1,84,0.7,99,91
74,Chaz Lanier,Tennessee,G,29,31.1,G,17.8,99,42.5,81,78.3,83,40.7,89,3.9,86,1.0,73,0.9,80,0.1,75,83
75,Obi Agbim,Wyoming,G,27,34.1,G,17.8,99,48.1,90,79.2,84,45.7,95,3.3,82,3.4,91,1.0,82,0.4,89,89
76,RJ Luis Jr.,St. John's,G,29,31.6,G,17.8,99,44.3,84,73.9,79,30.0,76,6.9,99,2.3,82,1.5,92,0.6,97,88
77,Jalen Rucker,Army,G,29,33.6,G,17.7,99,41.9,80,80.2,84,33.0,80,4.2,88,3.1,88,1.6,94,0.1,75,86
78,Shelton Williams-Dryden,West Georgia,F,31,30.3,F,17.6,99,55.2,85,69.1,82,31.6,84,7.5,95,1.5,86,1.2,96,0.3,74,87
79,C.J. Walker,East Carolina,F,29,31.3,F,17.6,99,52.7,83,72.9,85,25.0,80,6.6,91,0.7,76,0.7,82,0.8,84,85
80,Robbie Avila,Saint Louis,C,26,33.4,C,17.5,99,49.5,70,75.2,90,35.2,89,6.9,88,4.0,99,1.2,99,0.7,77,88
81,Isaiah Hawthorne,Northern Colorado,F,29,29.2,F,17.5,99,50.3,80,81.5,91,39.7,88,5.3,84,1.2,82,1.2,96,0.5,78,87
82,Gibson Jimerson,Saint Louis,G,29,37.4,G,17.5,98,42.7,81,83.3,87,36.2,84,4.5,90,0.8,71,0.6,74,0.2,80,83
83,Amarri Monroe,Quinnipiac,F,29,32.5,F,17.5,99,40.5,69,81.3,91,27.6,81,9.2,99,1.6,88,2.3,99,0.8,84,88
84,Sebastian Thomas,Rhode Island,G,26,35.8,G,17.5,98,43.8,83,69.3,75,29.9,76,3.9,86,6.1,99,2.1,99,0.2,80,87
85,Darryl Simmons II,Gardner-Webb,G,29,33.6,G,17.4,98,43.9,83,90.3,93,39.6,88,3.1,81,2.0,80,1.0,82,0.1,75,85
86,Ryan Cornish,Dartmouth,G,25,29.2,G,17.4,98,42.0,80,74.5,80,38.8,87,4.8,92,3.3,90,1.4,90,0.2,80,87
87,Kino Lilly Jr.,Brown,G,26,36.3,G,17.4,98,39.7,76,83.3,87,39.4,88,2.3,75,4.4,98,0.8,78,0.2,80,85
88,Michael Rataj,Oregon State,F,31,32.2,F,17.4,99,48.8,78,79.1,89,35.5,86,7.5,95,2.0,93,1.6,99,0.6,80,89
89,Robert Smith,Delaware State,G,27,30.6,G,17.4,98,41.8,80,74.0,79,35.6,83,3.1,81,3.1,88,1.3,88,0.1,75,84
90,Chase Forte,South Dakota,G,31,26.8,G,17.4,98,47.0,88,64.5,71,30.6,77,4.4,90,3.3,90,1.9,99,0.3,84,87
91,Bruce Thornton,Ohio State,G,29,35.7,G,17.4,98,50.2,93,83.9,87,43.9,93,3.3,82,4.3,97,1.1,84,0.1,75,88
92,Nik Graves,Charlotte,G,29,34.2,G,17.4,98,42.2,80,76.7,81,31.7,78,4.2,88,2.8,86,1.0,82,0.2,80,84
93,Daniel Batcho,Louisiana Tech,F,29,27.9,F,17.3,99,68.6,99,76.2,87,25.0,80,6.6,91,0.6,74,0.3,72,2.0,99,87
94,JT Toppin,Texas Tech,F,25,25.8,F,17.3,99,55.9,86,69.7,82,30.8,83,9.0,99,1.0,80,0.9,88,1.2,93,88
95,Yaxel Lendeborg,UAB,F,29,32.5,F,17.3,99,55.1,85,72.9,85,32.1,84,10.7,99,4.2,99,1.6,99,1.8,99,93
96,Noah Williamson,Bucknell,C,30,29.2,C,17.3,99,53.2,75,61.1,80,32.9,88,7.6,91,1.6,89,0.9,97,1.0,81,87
97,Don McHenry,Western Kentucky,G,29,28.9,G,17.3,98,40.6,78,83.1,87,31.3,78,3.2,81,1.7,78,1.5,92,0.1,75,83
98,Oscar Cluff,South Dakota State,C,29,27.5,C,17.3,99,63.6,87,77.6,92,60.0,99,12.2,99,2.9,99,0.5,83,0.8,78,92
99,RJ Davis,North Carolina,G,30,34.6,G,17.2,98,39.7,76,87.8,91,31.8,78,3.6,84,3.9,94,1.1,84,0.1,75,85
100,Matt Rogers,American,F,31,26.9,F,17.2,99,55.9,86,73.9,86,40.9,89,5.6,86,1.2,82,0.6,80,0.4,76,85
101,PJay Smith Jr.,Furman,G,29,31.3,G,17.2,98,43.2,82,83.5,87,41.1,90,4.0,87,3.6,92,1.6,94,0.2,80,88
102,Rahsool Diggins,UMass,G,29,34.6,G,17.2,98,37.6,73,83.3,87,31.9,78,2.8,78,2.8,86,1.2,86,0.2,80,83
103,Jason Edwards,Vanderbilt,G,29,24.7,G,17.2,98,44.2,83,84.1,88,36.0,83,1.8,72,1.4,76,0.8,78,0.0,71,81
104,Andrej Stojakovic,California,G,25,32.5,G,17.2,98,41.6,79,82.2,86,30.6,77,4.6,91,1.8,79,0.9,80,1.1,99,86
105,Malachi Davis,LIU,G,30,32.9,G,17.1,97,40.7,78,79.8,84,27.1,73,2.9,79,3.2,89,1.9,99,0.3,84,85
106,Quentin Jones,Northern Illinois,G,29,36.4,G,17.1,97,46.0,86,76.4,81,35.4,83,5.0,94,3.7,93,1.2,86,1.0,99,89
107,Jacari White,North Dakota State,G,31,30.8,G,17.1,97,45.2,85,85.2,89,39.8,88,4.3,89,2.3,82,0.7,76,0.4,89,86
108,Samage Teel,Indiana State,G,31,33.7,G,17.1,97,47.9,90,79.3,84,35.5,83,4.2,88,5.2,99,1.2,86,0.2,80,88
109,Xzayvier Brown,Saint Joseph's,G,26,35.7,G,17.1,97,42.9,81,89.0,92,34.1,81,5.1,94,4.8,99,1.3,88,0.1,75,88
110,Ian Martinez,Utah State,G,30,29.4,G,17.0,97,45.0,85,88.7,92,38.1,86,3.3,82,2.8,86,0.9,80,0.3,84,86
111,Owen Koonce,Cal Poly,G,30,30.5,G,17.0,97,52.1,96,89.5,92,38.5,86,5.1,94,1.6,77,1.2,86,0.5,93,90
112,Graham Ike,Gonzaga,F,31,22.3,F,17.0,99,59.9,91,79.5,90,37.9,87,7.4,94,1.4,85,0.7,82,0.6,80,88
113,Nakyel Shelton,Eastern Illinois,G,29,34.0,G,17.0,97,43.2,82,82.0,86,36.3,84,4.6,91,2.0,80,1.6,94,0.8,99,89
114,Tanahj Pettway,Prairie View A&M,PG,29,30.8,PG,17.0,91,44.3,86,68.7,69,32.4,76,3.5,92,1.2,69,1.2,82,0.1,77,80
115,Jalen Terry,Eastern Michigan,G,28,37.3,G,17.0,97,45.8,86,86.1,89,38.8,87,5.0,94,2.9,87,1.6,94,0.4,89,90
116,Cam Carter,Louisiana State,G,29,33.3,G,16.9,97,43.7,83,86.9,90,39.6,88,4.0,87,2.6,85,1.2,86,0.4,89,88
117,Ethan Roberts,Penn,G,24,33.0,G,16.9,97,42.8,81,81.7,86,37.4,85,5.8,99,2.1,81,0.8,78,0.0,71,84
118,Jacari Lane,North Alabama,G,31,33.4,G,16.9,97,41.8,80,78.3,83,39.4,88,3.1,81,4.2,97,1.4,90,0.1,75,86
119,Denijay Harris,Southern Mississippi,F,30,34.8,F,16.9,99,49.1,79,72.1,84,30.5,83,10.9,99,1.3,84,0.6,80,1.6,99,88
120,Ahmad Robinson,Mercer,G,31,30.9,G,16.9,97,43.0,82,71.6,77,33.1,80,4.7,92,4.9,99,1.9,99,0.2,80,88
121,Hunter Dickinson,Kansas,C,29,29.7,C,16.9,99,53.3,75,75.5,91,21.4,83,9.8,99,2.0,94,1.0,99,1.3,86,90
122,Walter Clayton Jr.,Florida,G,28,32.3,G,16.9,97,43.9,83,86.6,90,36.3,84,3.7,85,4.0,95,1.3,88,0.5,93,89
123,Zach Freemantle,Xavier,F,26,31.0,F,16.8,99,50.8,81,75.9,87,30.2,83,7.1,93,2.0,93,1.0,91,0.8,84,88
124,Tyler Tejada,Towson,G,25,31.6,G,16.8,97,43.4,82,81.5,85,33.3,80,3.8,85,0.8,71,0.5,71,0.2,80,81
125,Davion Bailey,Incarnate Word,G,30,33.8,G,16.8,97,42.4,81,74.4,79,40.5,89,3.0,80,1.0,73,1.3,88,0.3,84,83
126,Josh Uduje,San Jose State,G,28,31.4,G,16.8,97,50.0,93,77.7,82,36.9,85,4.5,90,1.5,76,1.0,82,0.4,89,86
127,Collin Murray-Boyles,South Carolina,F,29,30.6,F,16.8,99,59.4,90,70.0,83,25.9,80,8.4,99,2.4,98,1.5,99,1.4,97,93
128,Langston Reynolds,Northern Colorado,G,29,33.0,G,16.8,97,60.7,99,67.6,74,35.1,82,5.9,99,3.5,91,0.9,80,0.6,97,89
129,Xaivian Lee,Princeton,G,28,31.7,G,16.8,97,43.8,83,78.2,83,36.1,84,5.9,99,5.2,99,1.2,86,0.4,89,90
130,Ali Dibba,Southern Illinois,G,31,33.6,G,16.8,97,48.7,91,66.2,73,34.8,82,4.6,91,2.0,80,1.5,92,0.1,75,85
131,Steven Ashworth,Creighton,G,28,35.6,G,16.8,97,40.3,77,93.7,96,37.2,85,4.1,87,6.9,99,0.7,76,0.1,75,86
132,Curtis Jones,Iowa State,G,28,30.3,G,16.8,97,42.8,81,81.9,86,36.9,85,4.5,90,2.3,82,1.1,84,0.2,80,85
133,Sterling Young,Florida A&M,G,26,25.2,G,16.7,97,43.7,83,82.2,86,36.8,84,1.9,72,1.7,78,0.5,71,0.1,75,80
134,Brody Fox,The Citadel,G,29,32.2,G,16.7,97,49.9,93,54.3,63,16.3,60,5.1,94,2.3,82,1.2,86,0.0,71,80
135,Jaland Lowe,Pittsburgh,G,28,35.2,G,16.7,97,37.5,73,87.8,91,26.6,72,4.2,88,5.3,99,1.8,99,0.2,80,87
136,Martaz Robinson,Delaware State,G,27,32.5,G,16.7,97,40.9,78,83.2,87,37.8,86,6.2,99,2.6,85,1.8,99,0.1,75,88
137,Bryce Johnson,UMBC,G,30,31.3,G,16.7,97,51.8,96,74.8,80,37.6,85,4.1,87,2.6,85,0.9,80,0.5,93,87
138,Matthew Cleveland,Miami (FL),G,27,29.9,G,16.7,97,51.1,95,78.0,82,36.3,84,4.3,89,1.7,78,0.7,76,0.7,99,87
139,Jamir Simpson,Southern Utah,G,29,31.9,G,16.7,97,42.9,81,81.3,85,35.6,83,4.7,92,1.9,79,0.4,69,0.1,75,82
140,Po'Boigh King,North Carolina Central,G,29,30.3,G,16.7,97,43.7,83,77.4,82,33.5,80,2.9,79,1.6,77,1.2,86,0.1,75,82
141,John Camden,Delaware,F,31,33.7,F,16.6,99,46.4,76,81.3,91,40.2,89,5.2,84,1.9,92,1.1,93,0.4,76,87
142,Dejour Reaves,Iona,G,30,33.8,G,16.6,96,44.8,84,85.0,88,31.5,78,5.3,96,1.9,79,2.1,99,0.2,80,87
143,Jalon Moore,Oklahoma,F,29,30.3,F,16.6,99,48.9,79,82.7,92,36.7,87,5.7,86,0.6,74,0.5,77,0.6,80,84
144,Marcus Dockery,Howard,G,29,34.8,G,16.6,96,50.0,93,82.1,86,41.1,90,2.6,77,2.0,80,1.0,82,0.1,75,84
145,Devontae Blanton,Eastern Kentucky,F,31,34.5,F,16.5,99,43.4,72,66.4,80,27.6,81,6.2,89,4.6,99,1.2,96,0.1,69,85
146,Myles Tate,Appalachian State,G,30,34.3,G,16.5,96,41.1,78,73.4,79,35.6,83,5.2,95,5.4,99,1.9,99,0.2,80,88
147,Sam Hines Jr.,Southeastern Louisiana,G,30,32.9,G,16.5,96,49.2,92,75.9,81,37.0,85,6.2,99,1.9,79,1.0,82,0.6,97,88
148,Tyler McGhie,UC San Diego,G,30,30.1,G,16.5,96,43.9,83,85.2,89,39.5,88,3.9,86,1.8,79,1.0,82,0.2,80,85
149,Tylan Pope,Texas State,F,31,25.6,F,16.5,99,54.3,84,80.7,90,38.7,88,6.5,90,0.6,74,0.7,82,1.5,99,88
150,Jacob Holt,Sacramento State,F,30,26.7,F,16.4,99,51.2,81,71.6,84,36.8,87,7.1,93,1.1,81,0.6,80,0.8,84,86
151,Da'Sean Nelson,Eastern Michigan,F,28,30.5,F,16.4,99,48.6,78,77.5,88,24.2,79,5.9,87,2.5,99,1.0,91,1.1,90,88
152,Jamar Brown,Kansas City,G,28,33.0,G,16.4,96,44.5,84,90.7,93,39.2,87,7.6,99,1.2,74,1.6,94,0.3,84,88
153,Micah Peavy,Georgetown,G,29,36.8,G,16.4,96,46.9,88,64.6,71,36.9,85,5.6,98,3.6,92,2.4,99,0.6,97,90
154,Erik Reynolds II,Saint Joseph's,G,29,34.2,G,16.4,96,40.0,77,89.7,92,30.5,77,2.7,78,2.6,85,0.9,80,0.4,89,84
155,Trey Thomas,Bethune-Cookman,G,29,32.0,G,16.4,96,37.2,72,77.5,82,32.6,79,3.5,83,2.3,82,1.2,86,0.1,75,81
156,Josh Pascarelli,Marist,G,27,34.4,G,16.4,96,47.3,89,75.5,80,42.2,91,3.4,83,2.4,83,0.7,76,0.1,75,84
157,CJ Luster II,Stony Brook,G,31,29.6,G,16.4,96,42.7,81,87.2,90,42.1,91,2.6,77,1.1,73,1.1,84,0.1,75,83
158,Marko Maletic,Western Illinois,G,30,29.1,G,16.4,96,46.1,87,80.7,85,47.4,97,3.5,83,0.6,70,0.8,78,0.1,75,83
159,Marcus Banks Jr.,UMBC,G,31,30.3,G,16.4,96,43.7,83,85.5,89,40.8,89,4.1,87,2.1,81,1.3,88,0.2,80,86
160,Chase Hunter,Clemson,G,29,33.3,G,16.3,96,47.5,89,87.1,90,42.0,91,2.9,79,2.6,85,1.3,88,0.4,89,88
161,Marcus Adams Jr.,Cal State Northridge,F,29,29.1,F,16.3,99,52.9,83,77.0,88,39.6,88,4.8,82,1.4,85,1.1,93,0.4,76,86
162,Quinton Mincey,UMass Lowell,G,30,35.6,G,16.3,96,47.5,89,78.0,82,38.2,86,6.5,99,2.9,87,0.6,74,0.5,93,88
163,Ugnius Jarusevicius,Central Michigan,F,24,26.8,F,16.3,99,53.3,83,72.4,84,31.3,84,7.4,94,0.5,73,0.6,80,0.7,82,84
164,Chucky Hepburn,Louisville,G,28,33.9,G,16.3,96,45.2,85,84.8,88,36.0,83,3.3,82,6.0,99,2.4,99,0.1,75,88
165,Donald Hand Jr.,Boston College,G,29,32.9,G,16.3,96,39.0,75,87.4,90,38.3,86,6.2,99,1.2,74,0.6,74,0.2,80,84
166,Kennard Davis Jr.,Southern Illinois,G,30,33.9,G,16.3,96,45.3,85,76.3,81,36.9,85,4.9,93,2.6,85,1.3,88,0.2,80,86
167,Ishmael Leggett,Pittsburgh,G,28,35.6,G,16.3,96,45.4,85,79.8,84,33.1,80,5.8,99,2.7,85,1.8,99,0.4,89,89
168,Rasheed Bello,Purdue Fort Wayne,G,31,33.1,G,16.3,96,45.3,85,89.8,92,43.1,92,2.4,76,4.1,96,1.8,99,0.3,84,90
169,Caleb Love,Arizona,G,29,33.6,G,16.2,95,37.4,72,87.2,90,30.8,77,4.3,89,3.5,91,1.3,88,0.3,84,85
170,Robert McCray V,Jacksonville,G,29,29.7,G,16.2,95,43.3,82,75.5,80,33.3,80,4.7,92,4.5,99,1.5,92,0.7,99,89
171,Orlando Lovejoy,Detroit Mercy,G,29,35.0,G,16.2,95,44.9,85,86.2,89,23.5,68,4.7,92,3.8,94,1.7,97,0.1,75,86
172,Tarence Guinyard,UT Martin,G,30,28.3,G,16.2,95,44.8,84,74.4,79,32.4,79,4.7,92,2.2,82,1.4,90,0.2,80,85
173,TK Simpkins,Elon,G,26,29.6,G,16.2,95,42.0,80,75.9,81,36.0,83,3.2,81,2.6,85,1.1,84,0.3,84,84
174,Payton Sandfort,Iowa,F,29,31.4,F,16.1,99,39.7,68,87.9,96,33.3,85,6.2,89,3.0,99,0.7,82,0.7,82,87
175,Tyler Johnson,Mercer,G,31,33.0,G,16.1,95,44.3,84,87.9,91,39.4,88,3.6,84,1.5,76,1.2,86,0.1,75,84
176,Vladislav Goldin,Michigan,C,29,26.7,C,16.1,99,64.7,88,70.6,87,37.5,90,6.4,86,1.1,82,0.5,83,1.4,88,87
177,Cesare Edwards,Georgia State,C,31,31.3,C,16.1,99,51.1,72,74.7,90,45.2,94,6.8,88,1.3,85,0.5,83,1.5,89,87
